timestamp,fair,returns,fair_in_1_its,fair_1_its_ago,fair_in_2_its,fair_2_its_ago,fair_in_5_its,fair_5_its_ago,fair_in_10_its,fair_10_its_ago,fair_in_50_its,fair_50_its_ago,fair_in_100_its,fair_100_its_ago,fair_in_500_its,fair_500_its_ago,returns_in_1_its,returns_from_1_its_ago,returns_in_2_its,returns_from_2_its_ago,returns_in_5_its,returns_from_5_its_ago,returns_in_10_its,returns_from_10_its_ago,returns_in_50_its,returns_from_50_its_ago,returns_in_100_its,returns_from_100_its_ago,returns_in_500_its,returns_from_500_its_ago
1000,1842.5,-0.000542740841248304,1841.5,1841.5,1840.5,1836.5,1844.5,1835.0,1847.5,1836.0,1860.5,,1864.5,,1832.5,,-0.000542740841248304,0.0005430355688297583,-0.001085481682496608,0.003267084127416281,0.001085481682496608,0.004087193460490463,0.0027137042062415195,0.003540305010893246,0.00976933514246947,,0.011940298507462687,,-0.005427408412483039,
1100,1841.5,-0.0005430355688297583,1840.5,1842.5,1841.5,1841.5,1845.5,1834.5,1846.0,1838.0,1860.5,,1865.5,,1832.5,,-0.0005430355688297583,-0.000542740841248304,0.0,0.0,0.0021721422753190334,0.0038157536113382394,0.0024436600597339125,0.0019042437431991295,0.010317675807765408,,0.0130328536519142,,-0.004887320119467825,
1200,1840.5,0.0005433306166802499,1841.5,1841.5,1841.5,1842.5,1842.0,1835.5,1847.5,1833.5,1861.5,,1864.0,,1832.5,,0.0005433306166802499,-0.0005430355688297583,0.0005433306166802499,-0.001085481682496608,0.0008149959250203749,0.002724053391446472,0.0038033143167617496,0.003817834742296155,0.011409942950285249,,0.012768269491985873,,-0.004346644933441999,
1300,1841.5,0.0,1841.5,1840.5,1844.5,1841.5,1844.0,1836.5,1849.5,1836.5,1860.5,,1863.5,,1831.5,,0.0,0.0005433306166802499,0.001629106706489275,0.0,0.0013575889220743959,0.002722570106180234,0.004344284550638067,0.002722570106180234,0.010317675807765408,,0.011946782514254684,,-0.005430355688297583,
1400,1841.5,0.001629106706489275,1844.5,1841.5,1845.5,1840.5,1844.5,1841.5,1847.5,1834.5,1860.0,,1859.5,,1830.0,,0.001629106706489275,0.0,0.0021721422753190334,0.0005433306166802499,0.001629106706489275,0.0,0.00325821341297855,0.0038157536113382394,0.01004615802335053,,0.00977464023893565,,-0.006244909041542221,
1500,1844.5,0.0005421523448088912,1845.5,1841.5,1842.0,1841.5,1847.5,1842.5,1848.5,1835.0,1860.5,,1857.0,,1830.5,,0.0005421523448088912,0.001629106706489275,-0.0013553808620222283,0.001629106706489275,0.001626457034426674,0.001085481682496608,0.002168609379235565,0.0051771117166212535,0.00867443751694226,,0.006776904310111141,,-0.007590132827324478,
1600,1845.5,-0.001896505012191818,1842.0,1844.5,1844.0,1841.5,1846.0,1841.5,1850.5,1834.5,1861.5,,1859.0,,1830.0,,-0.001896505012191818,0.0005421523448088912,-0.000812787862367922,0.0021721422753190334,0.000270929287455974,0.0021721422753190334,0.00270929287455974,0.005996184246388662,0.008669737198591168,,0.007315090761311298,,-0.008398807911135195,
1700,1842.0,0.0010857763300760044,1844.0,1845.5,1844.5,1844.5,1847.5,1840.5,1849.5,1835.5,1860.0,,1859.0,,1829.5,,0.0010857763300760044,-0.001896505012191818,0.0013572204125950054,-0.0013553808620222283,0.002985884907709012,0.0008149959250203749,0.004071661237785016,0.003541269408880414,0.009771986970684038,,0.009229098805646038,,-0.0067861020629750276,
1800,1844.0,0.00027114967462039046,1844.5,1842.0,1847.5,1845.5,1849.5,1841.5,1850.5,1836.5,1861.0,,1858.5,,1829.5,,0.00027114967462039046,0.0010857763300760044,0.001898047722342733,-0.000812787862367922,0.002982646420824295,0.0013575889220743959,0.0035249457700650758,0.004083855159270351,0.009219088937093275,,0.007863340563991324,,-0.007863340563991324,
1900,1844.5,0.001626457034426674,1847.5,1844.0,1846.0,1842.0,1847.5,1841.5,1849.5,1841.5,1861.0,,1858.0,,1829.5,,0.001626457034426674,0.00027114967462039046,0.000813228517213337,0.0013572204125950054,0.001626457034426674,0.001629106706489275,0.0027107617240444567,0.001629106706489275,0.008945513689346707,,0.007319056654920032,,-0.00813228517213337,
2000,1847.5,-0.0008119079837618403,1846.0,1844.5,1847.5,1844.0,1848.5,1844.5,1850.5,1842.5,1861.5,,1856.5,,1829.5,,-0.0008119079837618403,0.001626457034426674,0.0,0.001898047722342733,0.0005412719891745603,0.001626457034426674,0.0016238159675236806,0.0027137042062415195,0.007577807848443843,,0.004871447902571042,,-0.009742895805142085,
2100,1846.0,0.0008125677139761647,1847.5,1847.5,1849.5,1844.5,1850.5,1845.5,1849.5,1841.5,1861.5,,1854.5,,1828.5,,0.0008125677139761647,-0.0008119079837618403,0.001895991332611051,0.000813228517213337,0.002437703141928494,0.000270929287455974,0.001895991332611051,0.0024436600597339125,0.008396533044420368,,0.004604550379198266,,-0.009479956663055254,
2200,1847.5,0.0010825439783491205,1849.5,1846.0,1847.5,1847.5,1849.5,1842.0,1848.5,1840.5,1860.5,,1857.0,,1828.5,,0.0010825439783491205,0.0008125677139761647,0.0,0.0,0.0010825439783491205,0.002985884907709012,0.0005412719891745603,0.0038033143167617496,0.0070365358592692825,,0.005142083897158322,,-0.010284167794316644,
2300,1849.5,-0.0010813733441470668,1847.5,1847.5,1848.5,1846.0,1850.5,1844.0,1850.5,1841.5,1859.5,,1857.5,,1829.0,,-0.0010813733441470668,0.0010825439783491205,-0.0005406866720735334,0.001895991332611051,0.0005406866720735334,0.002982646420824295,0.0005406866720735334,0.004344284550638067,0.005406866720735334,,0.004325493376588267,,-0.011084076777507435,
2400,1847.5,0.0005412719891745603,1848.5,1849.5,1850.5,1847.5,1849.5,1844.5,1850.5,1841.5,1860.5,,1858.5,,1834.5,,0.0005412719891745603,-0.0010813733441470668,0.0016238159675236806,0.0,0.0010825439783491205,0.001626457034426674,0.0016238159675236806,0.00325821341297855,0.0070365358592692825,,0.005953991880920162,,-0.0070365358592692825,
2500,1848.5,0.0010819583446037328,1850.5,1847.5,1849.5,1849.5,1850.5,1847.5,1851.5,1844.5,1859.0,,1859.0,,1835.5,,0.0010819583446037328,0.0005412719891745603,0.0005409791723018664,-0.0005406866720735334,0.0010819583446037328,0.0005412719891745603,0.0016229375169055991,0.002168609379235565,0.005680281309169597,,0.005680281309169597,,-0.007032729239924263,
2600,1850.5,-0.0005403944879762226,1849.5,1848.5,1850.5,1847.5,1849.5,1846.0,1851.5,1845.5,1860.5,,1860.0,,1835.5,,-0.0005403944879762226,0.0010819583446037328,0.0,0.0016238159675236806,-0.0005403944879762226,0.002437703141928494,0.0005403944879762226,0.00270929287455974,0.0054039448797622265,,0.005133747635774115,,-0.00810591731964334,
2700,1849.5,0.0005406866720735334,1850.5,1850.5,1849.5,1848.5,1848.5,1847.5,1852.5,1842.0,1859.5,,1857.5,,1838.5,,0.0005406866720735334,-0.0005403944879762226,0.0,0.0005409791723018664,-0.0005406866720735334,0.0010825439783491205,0.0016220600162206002,0.004071661237785016,0.005406866720735334,,0.004325493376588267,,-0.005947553392808867,
2800,1850.5,-0.0005403944879762226,1849.5,1849.5,1850.5,1850.5,1850.5,1849.5,1853.5,1844.0,1860.0,,1855.0,,1839.5,,-0.0005403944879762226,0.0005406866720735334,0.0,0.0,0.0,0.0005406866720735334,0.0016211834639286678,0.0035249457700650758,0.005133747635774115,,0.002431775195893002,,-0.005944339367738449,
2900,1849.5,0.0005406866720735334,1850.5,1850.5,1849.5,1849.5,1850.5,1847.5,1853.5,1844.5,1859.5,,1854.0,,1840.5,,0.0005406866720735334,-0.0005403944879762226,0.0,0.0,0.0005406866720735334,0.0010825439783491205,0.0021627466882941336,0.0027107617240444567,0.005406866720735334,,0.0024330900243309003,,-0.004866180048661801,
3000,1850.5,-0.0005403944879762226,1849.5,1849.5,1848.5,1850.5,1851.5,1848.5,1855.5,1847.5,1858.5,,1852.5,,1841.5,,-0.0005403944879762226,0.0005406866720735334,-0.0010807889759524452,0.0,0.0005403944879762226,0.0010819583446037328,0.0027019724398811133,0.0016238159675236806,0.004323155903809781,,0.0010807889759524452,,-0.004863550391786004,
3100,1849.5,-0.0005406866720735334,1848.5,1850.5,1850.5,1849.5,1851.5,1850.5,1856.0,1846.0,1859.5,,1851.5,,1839.5,,-0.0005406866720735334,-0.0005403944879762226,0.0005406866720735334,0.0,0.0010813733441470668,-0.0005403944879762226,0.003514463368477967,0.001895991332611051,0.005406866720735334,,0.0010813733441470668,,-0.005406866720735334,
3200,1848.5,0.0010819583446037328,1850.5,1849.5,1850.5,1850.5,1852.5,1849.5,1855.0,1847.5,1858.5,,1852.5,,1840.0,,0.0010819583446037328,-0.0005406866720735334,0.0010819583446037328,-0.0010807889759524452,0.0021639166892074655,-0.0005406866720735334,0.0035163646199621317,0.0005412719891745603,0.005409791723018664,,0.0021639166892074655,,-0.004598322964565864,
3300,1850.5,0.0,1850.5,1848.5,1851.5,1849.5,1853.5,1850.5,1855.5,1849.5,1858.5,,1852.5,,1841.5,,0.0,0.0010819583446037328,0.0005403944879762226,0.0005406866720735334,0.0016211834639286678,0.0,0.0027019724398811133,0.0005406866720735334,0.004323155903809781,,0.0010807889759524452,,-0.004863550391786004,
3400,1850.5,0.0005403944879762226,1851.5,1850.5,1851.5,1848.5,1853.5,1849.5,1854.5,1847.5,1858.5,,1853.5,,1842.0,,0.0005403944879762226,0.0,0.0005403944879762226,0.0010819583446037328,0.0016211834639286678,0.0005406866720735334,0.0021615779519048904,0.0016238159675236806,0.004323155903809781,,0.0016211834639286678,,-0.0045933531477978925,
3500,1851.5,0.0,1851.5,1850.5,1852.5,1850.5,1855.5,1850.5,1853.5,1848.5,1859.5,,1854.5,,1840.5,,0.0,0.0005403944879762226,0.0005401026194977045,0.0005403944879762226,0.002160410477990818,0.0005403944879762226,0.001080205238995409,0.0016229375169055991,0.004320820955981636,,0.0016203078584931137,,-0.00594112881447475,
3600,1851.5,0.0005401026194977045,1852.5,1851.5,1853.5,1850.5,1856.0,1849.5,1857.5,1850.5,1858.5,,1850.0,,1841.5,,0.0005401026194977045,0.0,0.001080205238995409,0.0005403944879762226,0.0024304617877396704,0.0010813733441470668,0.0032406157169862274,0.0005403944879762226,0.003780718336483932,,-0.0008101539292465569,,-0.0054010261949770455,
3700,1852.5,0.0005398110661268556,1853.5,1851.5,1853.5,1851.5,1855.0,1848.5,1856.5,1849.5,1858.5,,1848.5,,1841.5,,0.0005398110661268556,0.0005401026194977045,0.0005398110661268556,0.0005401026194977045,0.001349527665317139,0.0021639166892074655,0.0021592442645074223,0.0016220600162206002,0.0032388663967611335,,-0.0021592442645074223,,-0.005937921727395412,
3800,1853.5,0.0,1853.5,1852.5,1855.5,1851.5,1855.5,1850.5,1862.0,1850.5,1858.5,,1848.0,,1840.0,,0.0,0.0005398110661268556,0.0010790396547073105,0.001080205238995409,0.0010790396547073105,0.0016211834639286678,0.004585918532506069,0.0016211834639286678,0.002697599136768276,,-0.002967359050445104,,-0.007283517669274346,
3900,1853.5,0.0010790396547073105,1855.5,1853.5,1856.0,1852.5,1854.5,1850.5,1858.0,1849.5,1857.5,,1850.5,,1838.5,,0.0010790396547073105,0.0,0.001348799568384138,0.0005398110661268556,0.0005395198273536552,0.0016211834639286678,0.0024278392230914487,0.0021627466882941336,0.002158079309414621,,-0.0016185594820609657,,-0.008092797410304829,
4000,1855.5,0.00026946914578280785,1856.0,1853.5,1855.0,1853.5,1853.5,1851.5,1861.5,1850.5,1857.5,,1853.5,,1838.5,,0.00026946914578280785,0.0010790396547073105,-0.00026946914578280785,0.0010790396547073105,-0.0010778765831312314,0.002160410477990818,0.0032336297493936943,0.0027019724398811133,0.0010778765831312314,,-0.0010778765831312314,,-0.009161950956615468,
4100,1856.0,-0.0005387931034482759,1855.0,1855.5,1855.5,1853.5,1857.5,1851.5,1860.5,1849.5,1856.5,,1852.5,,1840.0,,-0.0005387931034482759,0.00026946914578280785,-0.00026939655172413793,0.001348799568384138,0.0008081896551724138,0.0024304617877396704,0.0024245689655172415,0.003514463368477967,0.00026939655172413793,,-0.0018857758620689656,,-0.008620689655172414,
4200,1855.0,0.00026954177897574127,1855.5,1856.0,1854.5,1855.5,1856.5,1852.5,1860.0,1848.5,1856.5,,1853.5,,1841.0,,0.00026954177897574127,-0.0005387931034482759,-0.00026954177897574127,-0.00026946914578280785,0.0008086253369272237,0.001349527665317139,0.0026954177897574125,0.0035163646199621317,0.0008086253369272237,,-0.0008086253369272237,,-0.007547169811320755,
4300,1855.5,-0.0005389382915656157,1854.5,1855.0,1853.5,1856.0,1862.0,1853.5,1858.5,1850.5,1855.5,,1850.5,,1837.5,,-0.0005389382915656157,0.00026954177897574127,-0.0010778765831312314,-0.00026939655172413793,0.0035030988951765024,0.0010790396547073105,0.0016168148746968471,0.0027019724398811133,0.0,,-0.0026946914578280788,,-0.009700889248181084,
4400,1854.5,-0.0005392289026691831,1853.5,1855.5,1857.5,1855.0,1858.0,1853.5,1858.5,1850.5,1856.5,,1854.5,,1837.5,,-0.0005392289026691831,-0.0005389382915656157,0.0016176867080075492,-0.00026954177897574127,0.0018873011593421407,0.0005395198273536552,0.0021569156106767324,0.0021615779519048904,0.0010784578053383662,,0.0,,-0.009166891345376111,
4500,1853.5,0.002158079309414621,1857.5,1854.5,1856.5,1855.5,1861.5,1855.5,1858.5,1851.5,1854.5,,1852.5,,1836.5,,0.002158079309414621,-0.0005392289026691831,0.0016185594820609657,-0.0010778765831312314,0.004316158618829242,-0.0010778765831312314,0.002697599136768276,0.001080205238995409,0.0005395198273536552,,-0.0005395198273536552,,-0.009171837065012138,
4600,1857.5,-0.0005383580080753701,1856.5,1853.5,1862.0,1854.5,1860.5,1856.0,1860.5,1851.5,1856.5,,1848.5,,1837.5,,-0.0005383580080753701,0.002158079309414621,0.0024226110363391655,0.0016176867080075492,0.0016150740242261105,0.0008081896551724138,0.0016150740242261105,0.0032406157169862274,-0.0005383580080753701,,-0.004845222072678331,,-0.010767160161507403,
4700,1856.5,0.0029625639644492324,1862.0,1857.5,1858.0,1853.5,1860.0,1855.0,1860.5,1852.5,1855.5,,1851.0,,1840.5,,0.0029625639644492324,-0.0005383580080753701,0.0008079719903043361,0.0016185594820609657,0.0018852679773767843,0.0008086253369272237,0.0021545919741448962,0.0021592442645074223,-0.0005386479935362241,,-0.0029625639644492324,,-0.008618367896579585,
4800,1862.0,-0.0021482277121374865,1858.0,1856.5,1861.5,1857.5,1858.5,1855.5,1859.5,1853.5,1856.5,,1850.0,,1841.5,,-0.0021482277121374865,0.0029625639644492324,-0.0002685284640171858,0.0024226110363391655,-0.0018796992481203006,0.0035030988951765024,-0.0013426423200859291,0.004585918532506069,-0.002953813104189044,,-0.00644468313641246,,-0.01100966702470462,
4900,1858.0,0.001883745963401507,1861.5,1862.0,1860.5,1856.5,1858.5,1854.5,1858.5,1853.5,1859.5,,1853.5,,1840.0,,0.001883745963401507,-0.0021482277121374865,0.0013455328310010765,0.0008079719903043361,0.00026910656620021526,0.0018873011593421407,0.00026910656620021526,0.0024278392230914487,0.0008073196986006459,,-0.0024219590958019376,,-0.00968783638320775,
5000,1861.5,-0.0005372011818426001,1860.5,1858.0,1860.0,1862.0,1858.5,1853.5,1860.5,1855.5,1857.5,1836.0,1850.5,,1840.0,,-0.0005372011818426001,0.001883745963401507,-0.0008058017727639,-0.0002685284640171858,-0.0016116035455278,0.004316158618829242,-0.0005372011818426001,0.0032336297493936943,-0.0021488047273704003,0.013888888888888888,-0.0059092130002686,,-0.011549825409615902,
5100,1860.5,-0.0002687449610319806,1860.0,1861.5,1858.5,1858.0,1860.5,1857.5,1860.5,1856.0,1858.0,1838.0,1851.5,,1840.5,,-0.0002687449610319806,-0.0005372011818426001,-0.0010749798441279225,0.0013455328310010765,0.0,0.0016150740242261105,0.0,0.0024245689655172415,-0.0013437248051599033,0.012241566920565832,-0.004837409298575652,,-0.010749798441279226,
5200,1860.0,-0.0008064516129032258,1858.5,1860.5,1858.5,1861.5,1860.5,1856.5,1861.5,1855.0,1858.5,1833.5,1850.0,,1839.0,,-0.0008064516129032258,-0.0002687449610319806,-0.0008064516129032258,-0.0008058017727639,0.00026881720430107527,0.0018852679773767843,0.0008064516129032258,0.0026954177897574125,-0.0008064516129032258,0.014453231524406873,-0.005376344086021506,,-0.01129032258064516,
5300,1858.5,0.0,1858.5,1860.0,1858.5,1860.5,1859.5,1862.0,1860.5,1855.5,1859.5,1836.5,1851.0,,1837.0,,0.0,-0.0008064516129032258,0.0,-0.0010749798441279225,0.0005380683346785041,-0.0018796992481203006,0.0010761366693570083,0.0016168148746968471,0.0005380683346785041,0.01197930846719303,-0.004035512510088781,,-0.011568469195587839,
5400,1858.5,0.0,1858.5,1858.5,1860.5,1860.0,1858.5,1858.0,1860.0,1854.5,1857.5,1834.5,1848.5,,1838.0,,0.0,0.0,0.0010761366693570083,-0.0008064516129032258,0.0,0.00026910656620021526,0.0008071025020177562,0.0021569156106767324,-0.0005380683346785041,0.013082583810302535,-0.0053806833467850415,,-0.011030400860909336,
5500,1858.5,0.0010761366693570083,1860.5,1858.5,1860.5,1858.5,1860.5,1861.5,1860.5,1853.5,1857.5,1835.0,1851.5,,1841.0,,0.0010761366693570083,0.0,0.0010761366693570083,0.0,0.0010761366693570083,-0.0016116035455278,0.0010761366693570083,0.002697599136768276,-0.0005380683346785041,0.012806539509536785,-0.003766478342749529,,-0.009416195856873822,
5600,1860.5,0.0,1860.5,1858.5,1859.5,1858.5,1860.5,1860.5,1861.5,1857.5,1858.5,1834.5,1847.5,,1842.0,,0.0,0.0010761366693570083,-0.0005374899220639613,0.0010761366693570083,0.0,0.0,0.0005374899220639613,0.0016150740242261105,-0.0010749798441279225,0.014172799127827746,-0.006987368986831497,,-0.009943563558183283,
5700,1860.5,-0.0005374899220639613,1859.5,1860.5,1858.5,1858.5,1861.5,1860.0,1860.0,1856.5,1858.5,1835.5,1848.0,,1841.5,,-0.0005374899220639613,0.0,-0.0010749798441279225,0.0010761366693570083,0.0005374899220639613,0.00026881720430107527,-0.0002687449610319806,0.0021545919741448962,-0.0010749798441279225,0.013620266957232362,-0.0067186240257995165,,-0.010212308519215264,
5800,1859.5,-0.0005377789728421619,1858.5,1860.5,1860.5,1860.5,1860.5,1858.5,1861.0,1862.0,1858.0,1836.5,1852.5,,1840.5,,-0.0005377789728421619,-0.0005374899220639613,0.0005377789728421619,-0.0005374899220639613,0.0005377789728421619,0.0005380683346785041,0.0008066684592632429,-0.0013426423200859291,-0.0008066684592632429,0.012523822488429077,-0.003764452809895133,,-0.010217800484001076,
5900,1858.5,0.0010761366693570083,1860.5,1859.5,1860.5,1860.5,1860.0,1858.5,1861.0,1858.0,1860.5,1841.5,1853.5,,1841.0,,0.0010761366693570083,-0.0005377789728421619,0.0010761366693570083,-0.0010749798441279225,0.0008071025020177562,0.0,0.0013451708366962604,0.00026910656620021526,0.0010761366693570083,0.009231604670105892,-0.0026903416733925207,,-0.009416195856873822,
6000,1860.5,0.0,1860.5,1858.5,1861.5,1859.5,1860.5,1858.5,1861.5,1861.5,1864.5,1842.5,1857.0,,1837.5,,0.0,0.0010761366693570083,0.0005374899220639613,0.0005377789728421619,0.0,0.0010761366693570083,0.0005374899220639613,-0.0005372011818426001,0.002149959688255845,0.00976933514246947,-0.0018812147272238647,,-0.01236226820747111,
6100,1860.5,0.0005374899220639613,1861.5,1860.5,1860.5,1858.5,1861.5,1860.5,1861.5,1860.5,1865.5,1841.5,1856.5,,1838.5,,0.0005374899220639613,0.0,0.0,0.0010761366693570083,0.0005374899220639613,0.0,0.0005374899220639613,0.0,0.0026874496103198066,0.010317675807765408,-0.002149959688255845,,-0.011824778285407149,
6200,1861.5,-0.0005372011818426001,1860.5,1860.5,1860.0,1860.5,1860.0,1860.5,1860.5,1860.0,1864.0,1840.5,1854.5,,1834.5,,-0.0005372011818426001,0.0005374899220639613,-0.0008058017727639,0.0005374899220639613,-0.0008058017727639,0.0005374899220639613,-0.0005372011818426001,0.0008064516129032258,0.0013430029546065002,0.011409942950285249,-0.0037604082728982004,,-0.014504431909750202,
6300,1860.5,-0.0002687449610319806,1860.0,1861.5,1860.5,1860.5,1861.0,1859.5,1859.5,1858.5,1863.5,1841.5,1851.5,,1836.5,,-0.0002687449610319806,-0.0005372011818426001,0.0,0.0,0.0002687449610319806,0.0005377789728421619,-0.0005374899220639613,0.0010761366693570083,0.0016124697661918839,0.010317675807765408,-0.004837409298575652,,-0.012899758129535071,
6400,1860.0,0.00026881720430107527,1860.5,1860.5,1861.5,1861.5,1861.0,1858.5,1860.5,1858.5,1859.5,1841.5,1849.0,,1836.5,,0.00026881720430107527,-0.0002687449610319806,0.0008064516129032258,-0.0008058017727639,0.0005376344086021505,0.0008071025020177562,0.00026881720430107527,0.0008071025020177562,-0.00026881720430107527,0.01004615802335053,-0.005913978494623656,,-0.012634408602150538,
6500,1860.5,0.0005374899220639613,1861.5,1860.0,1860.0,1860.5,1861.5,1860.5,1859.0,1858.5,1857.0,1844.5,1848.5,,1837.5,,0.0005374899220639613,0.00026881720430107527,-0.0002687449610319806,0.0,0.0005374899220639613,0.0,-0.0008062348830959419,0.0010761366693570083,-0.0018812147272238647,0.00867443751694226,-0.0064498790647675355,,-0.01236226820747111,
6600,1861.5,-0.0008058017727639,1860.0,1860.5,1861.0,1860.0,1861.5,1860.5,1860.5,1860.5,1859.0,1845.5,1849.0,,1839.5,,-0.0008058017727639,0.0005374899220639613,-0.00026860059092130003,0.0008064516129032258,0.0,0.0005374899220639613,-0.0005372011818426001,0.0005374899220639613,-0.0013430029546065002,0.008669737198591168,-0.006715014773032501,,-0.0118184260005372,
6700,1860.0,0.0005376344086021505,1861.0,1861.5,1861.0,1860.5,1860.5,1861.5,1859.5,1860.5,1859.0,1842.0,1843.5,,1842.5,,0.0005376344086021505,-0.0008058017727639,0.0005376344086021505,-0.0002687449610319806,0.00026881720430107527,-0.0008058017727639,-0.00026881720430107527,-0.0002687449610319806,-0.0005376344086021505,0.009771986970684038,-0.008870967741935484,,-0.009408602150537635,
6800,1861.0,0.0,1861.0,1860.0,1861.5,1861.5,1859.5,1860.5,1860.0,1859.5,1858.5,1844.0,1839.0,,1842.5,,0.0,0.0005376344086021505,0.00026867275658248256,-0.00026860059092130003,-0.0008060182697474476,0.0002687449610319806,-0.0005373455131649651,0.0008066684592632429,-0.0013433637829124126,0.009219088937093275,-0.011821601289629231,,-0.009940891993551854,
6900,1861.0,0.00026867275658248256,1861.5,1861.0,1861.5,1860.0,1860.5,1860.0,1859.5,1858.5,1858.0,1844.5,1843.5,,1843.5,,0.00026867275658248256,0.0,0.00026867275658248256,0.0005376344086021505,-0.00026867275658248256,0.0005376344086021505,-0.0008060182697474476,0.0013451708366962604,-0.0016120365394948952,0.008945513689346707,-0.009403546480386889,,-0.009403546480386889,
7000,1861.5,0.0,1861.5,1861.0,1860.5,1861.0,1859.0,1860.5,1858.5,1860.5,1856.5,1847.5,1844.0,,1844.5,,0.0,0.00026867275658248256,-0.0005372011818426001,0.00026867275658248256,-0.0013430029546065002,0.0005374899220639613,-0.0016116035455278,0.0005374899220639613,-0.0026860059092130005,0.007577807848443843,-0.009401020682245501,,-0.0091324200913242,
7100,1861.5,-0.0005372011818426001,1860.5,1861.5,1859.5,1861.0,1860.5,1861.5,1859.5,1860.5,1854.5,1846.0,1850.5,,1847.0,,-0.0005372011818426001,0.0,-0.0010744023636852001,0.00026867275658248256,-0.0005372011818426001,0.0,-0.0010744023636852001,0.0005374899220639613,-0.0037604082728982004,0.008396533044420368,-0.0059092130002686,,-0.0077894171367177,
7200,1860.5,-0.0005374899220639613,1859.5,1861.5,1860.5,1861.5,1859.5,1860.0,1858.5,1861.5,1857.0,1847.5,1849.5,,1848.5,,-0.0005374899220639613,-0.0005372011818426001,0.0,-0.0005372011818426001,-0.0005374899220639613,0.00026881720430107527,-0.0010749798441279225,-0.0005372011818426001,-0.0018812147272238647,0.0070365358592692825,-0.005912389142703574,,-0.0064498790647675355,
